store,method,split,rmse,mae
274,seasonal_naive,val,1348.0493579348538,777.0714285714286
274,seasonal_naive,test,855.2442007152945,676.7380952380952
274,sarima,val,1224.647180797623,706.8605459837028
274,sarima,test,915.5404395287886,664.0078704663697
274,lag_ml,val,651.5062616788852,527.5725109874181
274,lag_ml,test,680.9244663097622,483.48196318008314
26,seasonal_naive,val,2573.3607781351693,1994.8055555555557
26,seasonal_naive,test,1947.1263583947384,1380.1666666666667
26,sarima,val,1642.8619681606278,1278.5793631855322
26,sarima,test,1348.6535694640347,1184.3591043338026
26,lag_ml,val,786.1699012140431,582.6791103710892
26,lag_ml,test,846.1372148594994,722.8525486482298
37,seasonal_naive,val,1935.8339288275738,1535.7777777777778
37,seasonal_naive,test,1930.3074452877536,1491.9444444444443
37,sarima,val,1525.5236015732225,1216.3515818540961
37,sarima,test,1443.4820664829317,1286.9387236662528
37,lag_ml,val,1295.9408335716805,1043.661541694858
37,lag_ml,test,691.5544092517233,508.1922096382662
3,seasonal_naive,val,2686.236504024833,2177.0555555555557
3,seasonal_naive,test,2261.2044234090035,1745.4444444444443
3,sarima,val,2045.6395896963982,1625.1675048486568
3,sarima,test,1677.0135085561244,1390.3055041549314
3,lag_ml,val,1320.133977079844,976.006120296162
3,lag_ml,test,983.9609294404241,692.2391142503902
335,seasonal_naive,val,4207.68218630547,3057.8571428571427
335,seasonal_naive,test,4959.844059568617,3812.3333333333335
335,sarima,val,3255.04493193696,2579.688039911932
335,sarima,test,3394.6510119977575,2587.570189456815
335,lag_ml,val,998.5154886780554,787.9758883262851
335,lag_ml,test,2174.5092730349356,1586.7619355486622
85,seasonal_naive,val,2401.2247817272237,1653.6904761904761
85,seasonal_naive,test,1189.2161484015626,972.9047619047619
85,sarima,val,1750.5665297212647,1124.0865288228804
85,sarima,test,1062.9496335436932,913.3144896464631
85,lag_ml,val,978.6882015268516,737.8440192945903
85,lag_ml,test,584.135373332283,467.3368252403267
